Explanation,Bounds
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['skewness > 0.77', 'variance > 0.38', 'entropy <= 0.57']","[[0.380001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       0.57    ]]"
"['variance <= 0.56', 'skewness <= 0.77', 'curtosis <= 0.26', 'entropy <= 0.57']","[[0.   0.56]
 [0.   0.77]
 [0.   0.26]
 [0.   0.57]]"
"['curtosis <= 0.16', 'skewness <= 0.77', 'variance <= 0.71']","[[0.   0.71]
 [0.   0.77]
 [0.   0.16]
 [0.   1.  ]]"
"['variance <= 0.38', 'skewness <= 0.77']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.16', 'skewness > 0.60', 'entropy > 0.73']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.730001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.43', 'curtosis > 0.26']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.260001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.43']","[[0.   0.38]
 [0.   0.43]
 [0.   1.  ]
 [0.   1.  ]]"
"['variance <= 0.38', 'skewness <= 0.43']","[[0.   0.38]
 [0.   0.43]
 [0.   1.  ]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26', 'entropy > 0.57']","[[0.       0.56    ]
 [0.       0.6     ]
 [0.       0.26    ]
 [0.570001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['curtosis <= 0.16', 'skewness <= 0.77', 'variance <= 0.71']","[[0.   0.71]
 [0.   0.77]
 [0.   0.16]
 [0.   1.  ]]"
"['curtosis > 0.38', 'variance > 0.38', 'skewness > 0.43']","[[0.380001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'curtosis <= 0.16', '0.43 < skewness <= 0.77', 'entropy <= 0.73']","[[0.       0.56    ]
 [0.430001 0.77    ]
 [0.       0.16    ]
 [0.       0.73    ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.38']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.38]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.43']","[[0.   0.38]
 [0.   0.43]
 [0.   1.  ]
 [0.   1.  ]]"
"['skewness > 0.77', 'variance > 0.38', '0.16 < curtosis <= 0.26', '0.57 < entropy <= 0.73']","[[0.380001 1.      ]
 [0.770001 1.      ]
 [0.160001 0.26    ]
 [0.570001 0.73    ]]"
"['skewness > 0.77', 'variance > 0.38', 'curtosis > 0.26']","[[0.380001 1.      ]
 [0.770001 1.      ]
 [0.260001 1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.60', 'curtosis > 0.16']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.77']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   1.  ]]"
"['variance <= 0.38', 'skewness <= 0.77', 'curtosis <= 0.38']","[[0.   0.38]
 [0.   0.77]
 [0.   0.38]
 [0.   1.  ]]"
"['skewness > 0.77', 'curtosis > 0.26']","[[0.       1.      ]
 [0.770001 1.      ]
 [0.260001 1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.43', 'entropy > 0.57']","[[0.       0.38    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.570001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'curtosis > 0.38', 'entropy <= 0.81']","[[0.560001 1.      ]
 [0.       1.      ]
 [0.380001 1.      ]
 [0.       0.81    ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['skewness <= 0.43', '0.38 < variance <= 0.56']","[[0.380001 0.56    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   1.  ]]"
"['variance <= 0.38', 'skewness <= 0.77']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   1.  ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77', 'entropy <= 0.73']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   0.73]]"
"['variance <= 0.38', 'entropy > 0.57', 'skewness <= 0.60']","[[0.       0.38    ]
 [0.       0.6     ]
 [0.       1.      ]
 [0.570001 1.      ]]"
"['skewness <= 0.60', 'curtosis <= 0.16', 'variance <= 0.71', 'entropy > 0.81']","[[0.       0.71    ]
 [0.       0.6     ]
 [0.       0.16    ]
 [0.810001 1.      ]]"
"['variance <= 0.38', 'curtosis <= 0.16', 'skewness <= 0.77']","[[0.   0.38]
 [0.   0.77]
 [0.   0.16]
 [0.   1.  ]]"
"['skewness > 0.60', '0.73 < entropy <= 0.81', 'variance > 0.38', 'curtosis > 0.26']","[[0.380001 1.      ]
 [0.600001 1.      ]
 [0.260001 1.      ]
 [0.730001 0.81    ]]"
"['variance <= 0.38', 'skewness <= 0.77', 'entropy <= 0.81']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   0.81]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.60', 'curtosis > 0.16']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['curtosis > 0.38', 'skewness > 0.43', 'entropy <= 0.81']","[[0.       1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       0.81    ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'curtosis > 0.38', '0.57 < entropy <= 0.73']","[[0.560001 1.      ]
 [0.       1.      ]
 [0.380001 1.      ]
 [0.570001 0.73    ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['curtosis > 0.38', 'variance > 0.38', 'skewness > 0.43', 'entropy <= 0.81']","[[0.380001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       0.81    ]]"
"['skewness > 0.77', 'variance > 0.38', 'curtosis > 0.16', 'entropy <= 0.73']","[[0.380001 1.      ]
 [0.770001 1.      ]
 [0.160001 1.      ]
 [0.       0.73    ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['skewness <= 0.43', 'variance <= 0.56', 'entropy > 0.73']","[[0.       0.56    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.730001 1.      ]]"
"['variance > 0.56', 'curtosis > 0.38', '0.73 < entropy <= 0.81']","[[0.560001 1.      ]
 [0.       1.      ]
 [0.380001 1.      ]
 [0.730001 0.81    ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   1.  ]]"
"['variance <= 0.38', 'entropy > 0.57', 'skewness <= 0.43']","[[0.       0.38    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.570001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.77']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   1.  ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['skewness <= 0.43', 'variance <= 0.56', 'entropy > 0.73']","[[0.       0.56    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.730001 1.      ]]"
"['skewness > 0.77', 'variance > 0.38', 'curtosis > 0.16', 'entropy <= 0.57']","[[0.380001 1.      ]
 [0.770001 1.      ]
 [0.160001 1.      ]
 [0.       0.57    ]]"
"['variance <= 0.38', 'entropy > 0.57', 'curtosis <= 0.38']","[[0.       0.38    ]
 [0.       1.      ]
 [0.       0.38    ]
 [0.570001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance > 0.56', 'skewness > 0.60', 'entropy > 0.73', 'curtosis > 0.16']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.730001 1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26', 'entropy > 0.81']","[[0.       0.56    ]
 [0.       0.6     ]
 [0.       0.26    ]
 [0.810001 1.      ]]"
"['variance > 0.56', 'skewness > 0.60', 'curtosis > 0.16']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.       1.      ]]"
"['skewness <= 0.60', 'curtosis <= 0.16', 'variance <= 0.71', 'entropy > 0.57']","[[0.       0.71    ]
 [0.       0.6     ]
 [0.       0.16    ]
 [0.570001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'curtosis <= 0.26', 'skewness <= 0.77']","[[0.   0.38]
 [0.   0.77]
 [0.   0.26]
 [0.   1.  ]]"
"['variance <= 0.38', 'skewness <= 0.77', 'curtosis <= 0.38']","[[0.   0.38]
 [0.   0.77]
 [0.   0.38]
 [0.   1.  ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.38', '0.73 < entropy <= 0.81']","[[0.560001 1.      ]
 [0.       1.      ]
 [0.380001 1.      ]
 [0.730001 0.81    ]]"
"['0.38 < variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.38', 'entropy > 0.81']","[[0.380001 0.56    ]
 [0.       0.6     ]
 [0.       0.38    ]
 [0.810001 1.      ]]"
"['variance > 0.56', 'skewness > 0.60', 'curtosis > 0.38']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.38', 'entropy <= 0.81']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.38]
 [0.   0.81]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'entropy > 0.73', 'skewness <= 0.77', 'curtosis <= 0.38']","[[0.       0.38    ]
 [0.       0.77    ]
 [0.       0.38    ]
 [0.730001 1.      ]]"
"['variance <= 0.38', 'skewness <= 0.77', 'entropy <= 0.81']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   0.81]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77', 'entropy <= 0.73']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   0.73]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   1.  ]]"
"['variance <= 0.38', 'curtosis <= 0.26', 'skewness > 0.43']","[[0.       0.38    ]
 [0.430001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]]"
"['variance <= 0.38', 'curtosis <= 0.26']","[[0.   0.38]
 [0.   1.  ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance <= 0.38', 'skewness <= 0.43', 'entropy > 0.57']","[[0.       0.38    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.570001 1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26', 'entropy > 0.73']","[[0.       0.56    ]
 [0.       0.6     ]
 [0.       0.26    ]
 [0.730001 1.      ]]"
"['variance <= 0.38', 'entropy > 0.57', 'curtosis <= 0.26', 'skewness <= 0.77']","[[0.       0.38    ]
 [0.       0.77    ]
 [0.       0.26    ]
 [0.570001 1.      ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'entropy > 0.81', 'curtosis > 0.26', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.260001 1.      ]
 [0.810001 1.      ]]"
"['variance > 0.56', 'skewness > 0.60', 'curtosis > 0.16']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.60', 'curtosis > 0.16']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'curtosis > 0.16', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.160001 1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance <= 0.56', 'skewness <= 0.77', 'curtosis <= 0.16', 'entropy <= 0.73']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   0.73]]"
"['curtosis <= 0.16', 'variance <= 0.71', 'skewness <= 0.77', '0.57 < entropy <= 0.73']","[[0.       0.71    ]
 [0.       0.77    ]
 [0.       0.16    ]
 [0.570001 0.73    ]]"
"['variance > 0.38', '0.43 < skewness <= 0.77', 'curtosis > 0.38']","[[0.380001 1.      ]
 [0.430001 0.77    ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.38']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.38]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.38', 'entropy <= 0.73']","[[0.560001 1.      ]
 [0.       1.      ]
 [0.380001 1.      ]
 [0.       0.73    ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.77', 'entropy <= 0.81']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   0.81]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['skewness > 0.60', 'variance > 0.38', 'curtosis > 0.26', '0.57 < entropy <= 0.81']","[[0.380001 1.      ]
 [0.600001 1.      ]
 [0.260001 1.      ]
 [0.570001 0.81    ]]"
"['variance <= 0.38', 'curtosis <= 0.26']","[[0.   0.38]
 [0.   1.  ]
 [0.   0.26]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   1.  ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance <= 0.38', 'skewness <= 0.43', 'entropy <= 0.81']","[[0.   0.38]
 [0.   0.43]
 [0.   1.  ]
 [0.   0.81]]"
"['variance > 0.56', 'skewness > 0.60', 'entropy > 0.57']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.       1.      ]
 [0.570001 1.      ]]"
"['skewness <= 0.43', 'variance <= 0.56', 'curtosis <= 0.38']","[[0.   0.56]
 [0.   0.43]
 [0.   0.38]
 [0.   1.  ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.43', 'entropy <= 0.81']","[[0.   0.38]
 [0.   0.43]
 [0.   1.  ]
 [0.   0.81]]"
"['variance <= 0.38', '0.16 < curtosis <= 0.26']","[[0.       0.38    ]
 [0.       1.      ]
 [0.160001 0.26    ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'entropy > 0.57', 'curtosis <= 0.26', 'skewness <= 0.77']","[[0.       0.38    ]
 [0.       0.77    ]
 [0.       0.26    ]
 [0.570001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', '0.57 < entropy <= 0.73', 'skewness <= 0.43']","[[0.       0.38    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.570001 0.73    ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.43', 'entropy > 0.73']","[[0.       0.38    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.730001 1.      ]]"
"['skewness > 0.77', 'curtosis > 0.26']","[[0.       1.      ]
 [0.770001 1.      ]
 [0.260001 1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'skewness <= 0.77', 'entropy <= 0.81']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   0.81]]"
"['skewness > 0.77', 'variance > 0.38', 'curtosis <= 0.16', 'entropy <= 0.57']","[[0.380001 1.      ]
 [0.770001 1.      ]
 [0.       0.16    ]
 [0.       0.57    ]]"
"['variance <= 0.38', 'curtosis <= 0.26']","[[0.   0.38]
 [0.   1.  ]
 [0.   0.26]
 [0.   1.  ]]"
"['variance > 0.56', 'curtosis > 0.38', 'skewness > 0.43']","[[0.560001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['skewness <= 0.43', 'variance <= 0.56', 'entropy > 0.81']","[[0.       0.56    ]
 [0.       0.43    ]
 [0.       1.      ]
 [0.810001 1.      ]]"
"['variance <= 0.38', 'skewness <= 0.43', 'entropy <= 0.57']","[[0.   0.38]
 [0.   0.43]
 [0.   1.  ]
 [0.   0.57]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26', 'entropy > 0.81']","[[0.       0.56    ]
 [0.       0.6     ]
 [0.       0.26    ]
 [0.810001 1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77', 'entropy <= 0.57']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   0.57]]"
"['variance <= 0.38', 'skewness <= 0.77']","[[0.   0.38]
 [0.   0.77]
 [0.   1.  ]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.38', 'curtosis <= 0.38']","[[0.   0.38]
 [0.   1.  ]
 [0.   0.38]
 [0.   1.  ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['skewness > 0.77', 'variance > 0.38', 'curtosis > 0.26']","[[0.380001 1.      ]
 [0.770001 1.      ]
 [0.260001 1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance > 0.56', 'skewness > 0.77']","[[0.560001 1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['skewness > 0.77', 'curtosis > 0.26', 'entropy <= 0.57']","[[0.       1.      ]
 [0.770001 1.      ]
 [0.260001 1.      ]
 [0.       0.57    ]]"
"['variance <= 0.38', 'skewness <= 0.77', 'curtosis <= 0.38']","[[0.   0.38]
 [0.   0.77]
 [0.   0.38]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
"['curtosis > 0.38', 'variance > 0.38', 'skewness > 0.43']","[[0.380001 1.      ]
 [0.430001 1.      ]
 [0.380001 1.      ]
 [0.       1.      ]]"
"['skewness <= 0.43', 'variance <= 0.56', 'curtosis <= 0.38']","[[0.   0.56]
 [0.   0.43]
 [0.   0.38]
 [0.   1.  ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77', 'entropy <= 0.57']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   0.57]]"
"['variance <= 0.56', 'skewness <= 0.60', 'curtosis <= 0.26']","[[0.   0.56]
 [0.   0.6 ]
 [0.   0.26]
 [0.   1.  ]]"
['variance > 0.71'],"[[0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77', 'entropy <= 0.73']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   0.73]]"
"['variance <= 0.56', 'curtosis <= 0.16', 'skewness <= 0.77', 'entropy <= 0.73']","[[0.   0.56]
 [0.   0.77]
 [0.   0.16]
 [0.   0.73]]"
"['variance > 0.56', 'skewness > 0.60', 'curtosis > 0.16']","[[0.560001 1.      ]
 [0.600001 1.      ]
 [0.160001 1.      ]
 [0.       1.      ]]"
